"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"","2025-09-08","10:57:23","0:00","1.98","19.1",,
"","2025-09-08","10:57:23","0:02","1.58",,,
"","2025-09-08","10:57:23","0:03","1.28",,,
"","2025-09-08","10:57:23","0:10","0.07",,,
"","2025-09-08","10:57:23","0:56","0.4",,,
"","2025-09-08","10:57:23","0:59","0.79",,,
"","2025-09-08","10:57:23","1:03","1.03",,,
"","2025-09-08","10:57:23","1:04","1.09",,,
"","2025-09-08","10:57:23","1:09","0.74",,,
"","2025-09-08","10:57:23","1:12","0.43",,,
"","2025-09-08","10:57:23","1:14","0.13",,,
"","2025-09-08","10:57:23","1:24","0.45",,,
"","2025-09-08","10:57:23","2:03","0.84",,,
"","2025-09-08","10:57:23","2:05","0.86","19.2",,
"","2025-09-08","10:57:23","2:06","1.26",,,
"","2025-09-08","10:57:23","2:07","1.69",,,
"","2025-09-08","10:57:23","2:08","2.09",,,
"","2025-09-08","10:57:23","3:03","2.017",,,
"","2025-09-08","10:57:23","3:08","2.01",,,
"","2025-09-08","10:57:23","4:03","2.01",,,
"","2025-09-08","10:57:23","4:08","2.01",,,
"","2025-09-08","10:57:23","5:03","2.001",,,
"","2025-09-08","10:57:23","5:08","2","19.1",,
"","2025-09-08","10:57:23","5:10","2",,,
"","2025-09-08","10:57:23","6:03","2.009",,,
"","2025-09-08","10:57:23","6:08","2.01","19.2",,
"","2025-09-08","10:57:23","7:03","2.001",,,
"","2025-09-08","10:57:23","7:08","2",,,
"","2025-09-08","10:57:23","7:12","2.55",,,
"","2025-09-08","10:57:23","7:13","3.54",,,
"","2025-09-08","10:57:23","7:14","4.81",,,
"","2025-09-08","10:57:23","7:15","6.14",,,
"","2025-09-08","10:57:23","7:16","7.23",,,
"","2025-09-08","10:57:23","7:17","8.16",,,
"","2025-09-08","10:57:23","7:18","8.82",,,
"","2025-09-08","10:57:23","7:19","9.26",,,
"","2025-09-08","10:57:23","7:20","9.52",,,
"","2025-09-08","10:57:23","7:21","9.65",,,
"","2025-09-08","10:57:23","7:22","9.7",,,
"","2025-09-08","10:57:23","7:23","9.72",,,
"","2025-09-08","10:57:23","7:24","9.73",,,
"","2025-09-08","10:57:23","7:25","9.74","19.1",,
"","2025-09-08","10:57:23","7:29","9.75","19.2",,
"","2025-09-08","10:57:23","7:50","9.76",,,
"","2025-09-08","10:57:23","8:03","9.76",,,
"","2025-09-08","10:57:23","8:50","9.76",,,
"","2025-09-08","10:57:23","9:03","9.76",,,
"","2025-09-08","10:57:23","9:50","9.76",,,
"","2025-09-08","10:57:23","10:03","9.76",,,
"","2025-09-08","10:57:23","10:10","9.76",,,
"","2025-09-08","10:57:23","10:50","9.76",,,
"","2025-09-08","10:57:23","11:03","9.79",,,
"","2025-09-08","10:57:23","11:12","9.81",,,
"","2025-09-08","10:57:23","11:13","10.78",,,
"","2025-09-08","10:57:23","11:14","12.49",,,
"","2025-09-08","10:57:23","11:15","14.26",,,
"","2025-09-08","10:57:23","11:16","15.91",,,
"","2025-09-08","10:57:23","11:17","17.28",,,
"","2025-09-08","10:57:23","11:18","18.25",,,
"","2025-09-08","10:57:23","11:19","18.79",,,
"","2025-09-08","10:57:23","11:20","19.26",,,
"","2025-09-08","10:57:23","11:21","19.5",,,
"","2025-09-08","10:57:23","11:22","19.57",,,
"","2025-09-08","10:57:23","11:23","19.59",,,
"","2025-09-08","10:57:23","11:24","19.6",,,
"","2025-09-08","10:57:23","11:26","19.61",,,
"","2025-09-08","10:57:23","11:30","19.62",,,
"","2025-09-08","10:57:23","11:38","19.63",,,
"","2025-09-08","10:57:23","11:49","19.64",,,
"","2025-09-08","10:57:23","12:03","19.646",,,
"","2025-09-08","10:57:23","12:11","19.65",,,
"","2025-09-08","10:57:23","13:03","19.65",,,
"","2025-09-08","10:57:23","13:11","19.65",,,
"","2025-09-08","10:57:23","13:42","19.66","19.3",,
"","2025-09-08","10:57:23","14:03","19.66",,,
"","2025-09-08","10:57:23","14:42","19.66",,,
"","2025-09-08","10:57:23","15:03","19.927",,,
"","2025-09-08","10:57:23","15:10","20.016",,,
"","2025-09-08","10:57:23","15:15","20.08",,,
"","2025-09-08","10:57:23","15:16","21.57",,,
"","2025-09-08","10:57:23","15:17","23.08",,,
"","2025-09-08","10:57:23","15:18","24.62",,,
"","2025-09-08","10:57:23","15:19","26.2",,,
"","2025-09-08","10:57:23","15:20","27.62",,,
"","2025-09-08","10:57:23","15:21","28.39",,,
"","2025-09-08","10:57:23","15:22","28.85",,,
"","2025-09-08","10:57:23","15:23","29.31",,,
"","2025-09-08","10:57:23","15:24","29.54",,,
"","2025-09-08","10:57:23","15:25","29.57",,,
"","2025-09-08","10:57:23","15:26","29.58",,,
"","2025-09-08","10:57:23","15:27","29.59",,,
"","2025-09-08","10:57:23","15:28","29.6",,,
"","2025-09-08","10:57:23","15:31","29.61",,,
"","2025-09-08","10:57:23","15:36","29.62",,,
"","2025-09-08","10:57:23","15:44","29.63",,,
"","2025-09-08","10:57:23","16:00","29.64","19.2",,
"","2025-09-08","10:57:23","16:03","29.641",,,
"","2025-09-08","10:57:23","16:26","29.65","19.3",,
"","2025-09-08","10:57:23","17:03","29.65",,,
"","2025-09-08","10:57:23","17:26","29.65",,,
"","2025-09-08","10:57:23","17:30","29.66",,,
"","2025-09-08","10:57:23","18:03","29.66",,,
"","2025-09-08","10:57:23","18:30","29.66",,,
"","2025-09-08","10:57:23","19:03","29.674",,,
"","2025-09-08","10:57:23","19:16","29.68",,,
"","2025-09-08","10:57:23","19:17","30.77",,,
"","2025-09-08","10:57:23","19:18","32.23",,,
"","2025-09-08","10:57:23","19:19","33.77",,,
"","2025-09-08","10:57:23","19:20","35.23",,,
"","2025-09-08","10:57:23","19:21","36.77",,,
"","2025-09-08","10:57:23","19:22","38.03",,,
"","2025-09-08","10:57:23","19:23","38.58",,,
"","2025-09-08","10:57:23","19:24","38.87",,,
